Mar. 10, 2019   12:09:40
Cyclic Voltammetry
File: 
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = 0.2
High E (V) = 0.2
Low E (V) = -0.8
Init P/N = N
Scan Rate (V/s) = 0.01
Segment = 7
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
2nd E (V) = 0.6
Sens 2 (A/V) = 1e-4
Comp R (ohm) = 20.0

Segment 1:
Ep = -0.141V
ip = -1.036e-3A
Ah = -6.457e-3C

Segment 2:

Segment 3:
Ep = -0.134V
ip = -1.014e-3A
Ah = -5.793e-3C

Segment 4:

Segment 5:
Ep = -0.145V
ip = -1.007e-3A
Ah = -6.891e-3C

Ep = -0.665V
ip = -2.306e-5A
Ah = -1.842e-5C

Segment 6:

Segment 7:
Ep = -0.140V
ip = -1.012e-3A
Ah = -6.416e-3C

Ep = -0.380V
ip = -1.708e-5A
Ah = -1.052e-5C

Current 2:

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Segment 5:

Segment 6:

Segment 7:

Potential/V, i1/A, i2/A
-0.263, -1.214e-3, 1.692e-5
-0.264, -1.221e-3, 1.698e-5
-0.265, -1.219e-3, 1.690e-5
-0.266, -1.223e-3, 1.695e-5
-0.267, -1.215e-3, 1.686e-5
-0.268, -1.220e-3, 1.695e-5
-0.269, -1.215e-3, 1.687e-5
-0.270, -1.220e-3, 1.697e-5
-0.271, -1.216e-3, 1.690e-5
-0.272, -1.222e-3, 1.700e-5
-0.273, -1.216e-3, 1.693e-5
-0.274, -1.224e-3, 1.705e-5
-0.275, -1.218e-3, 1.697e-5
-0.276, -1.224e-3, 1.709e-5
-0.277, -1.216e-3, 1.698e-5
-0.278, -1.222e-3, 1.710e-5
-0.279, -1.217e-3, 1.701e-5
-0.280, -1.224e-3, 1.712e-5
-0.281, -1.221e-3, 1.703e-5
-0.282, -1.227e-3, 1.714e-5
-0.283, -1.222e-3, 1.701e-5
-0.284, -1.227e-3, 1.712e-5
-0.285, -1.220e-3, 1.701e-5
-0.286, -1.227e-3, 1.714e-5
-0.287, -1.223e-3, 1.706e-5
-0.288, -1.230e-3, 1.719e-5
-0.289, -1.224e-3, 1.708e-5
-0.290, -1.230e-3, 1.723e-5
-0.291, -1.227e-3, 1.711e-5
-0.292, -1.232e-3, 1.725e-5
-0.293, -1.228e-3, 1.711e-5
-0.294, -1.231e-3, 1.724e-5
-0.295, -1.230e-3, 1.712e-5
-0.296, -1.235e-3, 1.722e-5
-0.297, -1.228e-3, 1.709e-5
-0.298, -1.234e-3, 1.720e-5
-0.299, -1.229e-3, 1.707e-5
-0.300, -1.235e-3, 1.719e-5
-0.301, -1.231e-3, 1.707e-5
-0.302, -1.238e-3, 1.720e-5
-0.303, -1.237e-3, 1.705e-5
-0.304, -1.238e-3, 1.715e-5
-0.305, -1.233e-3, 1.701e-5
-0.306, -1.235e-3, 1.715e-5
-0.307, -1.230e-3, 1.703e-5
-0.308, -1.235e-3, 1.718e-5
-0.309, -1.229e-3, 1.706e-5
-0.310, -1.233e-3, 1.725e-5
-0.311, -1.227e-3, 1.715e-5
-0.312, -1.236e-3, 1.731e-5
-0.313, -1.232e-3, 1.721e-5
-0.314, -1.234e-3, 1.737e-5
-0.315, -1.229e-3, 1.727e-5
-0.316, -1.234e-3, 1.745e-5
